entry_time,exit_time,entry_price,exit_price,contracts,pnl,exit_reason,period,pnl_1c
2007-03-01 18:09:00,2007-03-09 12:00:00,177120.0,180100.0,6,-17880.0,expiration,train,-2980.0
2007-03-21 15:04:00,2007-03-22 15:11:00,182500.0,186400.0,7,-27300.0,signal_reverse,train,-3900.0
2007-04-19 15:11:00,2007-04-20 15:14:00,189700.0,193395.0,10,-36950.0,signal_reverse,train,-3695.0
2007-04-27 17:59:00,2007-04-28 16:15:00,188930.0,191310.0,10,-23800.0,signal_reverse,train,-2380.0
2007-05-14 15:00:00,2007-05-14 16:31:00,184155.0,184975.0,11,-9020.0,signal_reverse,train,-820.0
2007-05-15 15:04:00,2007-05-15 16:36:00,183500.0,184250.0,9,-6750.0,signal_reverse,train,-750.0
2007-05-17 16:32:00,2007-06-01 17:59:00,186800.0,184700.0,8,16800.0,signal_reverse,train,2100.0
2007-06-04 15:00:00,2007-06-05 15:00:00,182550.0,184600.0,7,-14350.0,signal_reverse,train,-2050.0
2007-06-05 16:30:00,2007-06-07 17:58:00,183660.0,182700.0,7,6720.0,signal_reverse,train,960.0
2007-08-10 14:59:00,2007-08-27 11:59:00,189155.0,189480.0,9,-2925.0,stop_loss,train,-325.0
2007-08-27 14:59:00,2007-08-31 14:59:00,190270.0,191585.0,9,-11835.0,signal_reverse,train,-1315.0
2008-01-16 16:34:00,2008-02-13 15:02:00,222585.0,199780.0,8,182440.0,signal_reverse,train,22805.0
2008-03-24 15:02:00,2008-03-24 17:59:00,196630.0,201000.0,6,-26220.0,signal_reverse,train,-4370.0
2008-03-25 17:59:00,2008-03-26 16:32:00,198375.0,198445.0,7,-490.0,signal_reverse,train,-70.0
2008-03-26 17:59:00,2008-03-27 15:02:00,198600.0,202400.0,7,-26600.0,signal_reverse,train,-3800.0
2008-06-23 15:02:00,2008-07-11 16:32:00,233480.0,217850.0,12,187560.0,signal_reverse,train,15630.0
2008-07-18 18:17:00,2008-07-21 15:02:00,215105.0,216815.0,8,-13680.0,signal_reverse,train,-1710.0
2008-07-21 16:32:00,2008-08-08 15:02:00,216135.0,176390.0,8,317960.0,signal_reverse,train,39745.0
2008-09-02 21:29:00,2008-09-08 11:59:00,165605.0,153945.0,9,104940.0,expiration,train,11660.0
2008-09-29 15:02:00,2008-09-30 22:47:00,122675.0,122730.0,4,-220.0,signal_reverse,train,-55.0
2008-10-03 15:02:00,2008-10-21 15:02:00,109315.0,77380.0,4,127740.0,signal_reverse,train,31935.0
2008-10-22 15:02:00,2008-10-23 15:02:00,69900.0,64815.0,6,30510.0,signal_reverse,train,5085.0
2008-11-12 19:47:00,2008-11-19 19:47:00,59235.0,59835.0,4,-2400.0,stop_loss,train,-600.0
2008-11-19 21:17:00,2008-11-24 21:17:00,60720.0,66415.0,5,-28475.0,signal_reverse,train,-5695.0
2008-12-02 22:47:00,2008-12-03 15:02:00,60250.0,59710.0,12,6480.0,signal_reverse,train,540.0
2008-12-05 19:47:00,2008-12-08 11:59:00,59045.0,64615.0,11,-61270.0,expiration,train,-5570.0
2008-12-25 15:02:00,2009-01-11 15:02:00,64320.0,61000.0,14,46480.0,signal_reverse,train,3320.0
2009-01-11 16:32:00,2009-01-11 18:17:00,60320.0,60820.0,17,-8500.0,signal_reverse,train,-500.0
2009-01-12 15:02:00,2009-01-14 15:02:00,60430.0,60210.0,17,3740.0,signal_reverse,train,220.0
2009-01-14 18:17:00,2009-01-22 19:47:00,56270.0,48345.0,21,166425.0,signal_reverse,train,7925.0
2009-02-18 15:02:00,2009-02-18 19:47:00,50100.0,51450.0,13,-17550.0,signal_reverse,train,-1350.0
2009-02-20 16:32:00,2009-02-24 15:02:00,51060.0,50140.0,11,10120.0,signal_reverse,train,920.0
2009-02-26 15:02:00,2009-02-26 16:32:00,53760.0,53725.0,14,490.0,signal_reverse,train,35.0
2009-02-27 16:32:00,2009-02-27 21:17:00,52500.0,53965.0,14,-20510.0,signal_reverse,train,-1465.0
2009-03-02 15:02:00,2009-03-03 18:17:00,51695.0,52810.0,15,-16725.0,signal_reverse,train,-1115.0
2009-06-19 16:32:00,2009-07-03 18:17:00,100635.0,93190.0,10,74450.0,signal_reverse,train,7445.0
2009-08-19 18:17:00,2009-08-19 21:17:00,97265.0,101185.0,10,-39200.0,signal_reverse,train,-3920.0
2009-11-25 18:02:00,2009-11-25 19:47:00,141390.0,142500.0,10,-11100.0,signal_reverse,train,-1110.0
2009-11-26 15:02:00,2009-11-30 15:02:00,138375.0,134930.0,10,34450.0,signal_reverse,train,3445.0
2010-01-26 15:02:00,2010-01-26 21:17:00,144210.0,146545.0,9,-21015.0,signal_reverse,train,-2335.0
2010-02-04 18:02:00,2010-02-12 15:01:00,146440.0,136790.0,14,135100.0,signal_reverse,train,9650.0
2010-02-25 16:32:00,2010-02-26 15:02:00,137860.0,139275.0,11,-15565.0,signal_reverse,train,-1415.0
2010-02-26 18:02:00,2010-02-26 19:47:00,138490.0,139890.0,12,-16800.0,signal_reverse,train,-1400.0
2010-04-28 15:02:00,2010-05-14 19:57:00,154110.0,141120.0,16,207840.0,signal_reverse,train,12990.0
2010-06-29 16:02:00,2010-07-06 16:02:00,135225.0,133880.0,14,18830.0,signal_reverse,train,1345.0
2010-07-07 14:32:00,2010-07-07 17:32:00,132025.0,133835.0,17,-30770.0,signal_reverse,train,-1810.0
2010-08-12 17:32:00,2010-08-12 20:47:00,142715.0,143480.0,14,-10710.0,signal_reverse,train,-765.0
2010-08-19 17:32:00,2010-08-27 19:17:00,145220.0,142010.0,20,64200.0,signal_reverse,train,3210.0
2010-11-16 14:32:00,2010-11-18 14:32:00,157830.0,159320.0,21,-31290.0,signal_reverse,train,-1490.0
2010-11-19 16:02:00,2010-11-19 20:47:00,158920.0,160040.0,16,-17920.0,signal_reverse,train,-1120.0
2010-11-22 20:47:00,2010-11-24 19:17:00,159175.0,160175.0,17,-17000.0,signal_reverse,train,-1000.0
2011-02-09 20:47:00,2011-02-11 19:27:00,187645.0,187885.0,11,-2640.0,signal_reverse,train,-240.0
2011-02-14 14:32:00,2011-02-21 12:59:00,186555.0,186130.0,12,5100.0,stop_loss,train,425.0
2011-02-22 14:32:00,2011-02-24 14:32:00,183720.0,186315.0,15,-38925.0,signal_reverse,train,-2595.0
2011-04-18 20:47:00,2011-04-19 14:32:00,188845.0,191725.0,10,-28800.0,signal_reverse,train,-2880.0
2011-05-03 22:17:00,2011-05-11 14:32:00,192260.0,193315.0,10,-10550.0,stop_loss,train,-1055.0
2011-05-11 16:02:00,2011-05-19 14:32:00,192935.0,186530.0,10,64050.0,signal_reverse,train,6405.0
2011-05-20 14:32:00,2011-05-27 14:32:00,184605.0,183500.0,11,12155.0,stop_loss,train,1105.0
2011-06-20 14:32:00,2011-06-20 17:32:00,183285.0,182995.0,11,3190.0,signal_reverse,train,290.0
2011-06-23 17:32:00,2011-06-24 14:32:00,179470.0,182910.0,16,-55040.0,signal_reverse,train,-3440.0
2011-06-27 14:32:00,2011-06-28 17:32:00,181555.0,184995.0,12,-41280.0,signal_reverse,train,-3440.0
2011-08-03 14:32:00,2011-08-22 14:31:00,192900.0,155600.0,11,410300.0,signal_reverse,train,37300.0
2011-08-25 20:47:00,2011-08-26 16:02:00,155420.0,156760.0,7,-9380.0,signal_reverse,train,-1340.0
2011-08-26 17:32:00,2011-08-26 20:47:00,156870.0,160075.0,7,-22435.0,signal_reverse,train,-3205.0
2011-09-19 14:31:00,2011-09-28 19:17:00,150635.0,136215.0,8,115360.0,signal_reverse,train,14420.0
2011-11-21 14:32:00,2011-11-28 11:29:00,142155.0,142370.0,8,-1720.0,stop_loss,train,-215.0
2011-11-28 14:32:00,2011-11-28 16:02:00,146100.0,146450.0,9,-3150.0,signal_reverse,train,-350.0
2011-12-19 14:32:00,2011-12-23 14:32:00,134650.0,138770.0,8,-32960.0,signal_reverse,train,-4120.0
2011-12-29 14:32:00,2011-12-29 22:17:00,132495.0,135170.0,20,-53500.0,signal_reverse,train,-2675.0
2012-03-20 16:02:00,2012-03-26 17:32:00,163995.0,166525.0,13,-32890.0,signal_reverse,train,-2530.0
2012-03-28 14:32:00,2012-03-29 14:32:00,161375.0,158170.0,14,44870.0,signal_reverse,train,3205.0
2012-04-04 16:02:00,2012-04-11 16:02:00,157790.0,156950.0,11,9240.0,stop_loss,train,840.0
2012-04-11 20:47:00,2012-04-13 14:32:00,156250.0,158335.0,11,-22935.0,signal_reverse,train,-2085.0
2012-04-13 17:32:00,2012-04-13 19:27:00,157280.0,156800.0,13,6240.0,signal_reverse,train,480.0
2012-04-16 14:32:00,2012-04-19 14:32:00,155635.0,156900.0,13,-16445.0,signal_reverse,train,-1265.0
2012-04-23 16:02:00,2012-04-27 14:32:00,152880.0,153575.0,17,-11815.0,signal_reverse,train,-695.0
2012-05-02 17:32:00,2012-05-21 14:32:00,153190.0,129745.0,20,468900.0,signal_reverse,train,23445.0
2012-06-25 14:32:00,2012-06-26 14:32:00,125720.0,127510.0,14,-25060.0,signal_reverse,train,-1790.0
2012-06-26 16:02:00,2012-06-26 17:32:00,127165.0,128540.0,15,-20625.0,signal_reverse,train,-1375.0
2012-06-27 14:32:00,2012-06-27 16:02:00,129395.0,129600.0,17,-3485.0,signal_reverse,train,-205.0
2012-07-24 20:47:00,2012-07-25 14:32:00,128770.0,132500.0,14,-52220.0,signal_reverse,train,-3730.0
2012-08-02 17:32:00,2012-08-02 22:17:00,134000.0,133240.0,14,10640.0,signal_reverse,train,760.0
2012-08-30 20:47:00,2012-08-30 22:17:00,138435.0,138600.0,18,-2970.0,signal_reverse,train,-165.0
2012-08-31 14:32:00,2012-09-04 14:32:00,138875.0,141235.0,18,-42480.0,signal_reverse,train,-2360.0
2012-09-04 16:02:00,2012-09-04 17:32:00,141260.0,140950.0,19,5890.0,signal_reverse,train,310.0
2012-09-05 14:32:00,2012-09-06 14:32:00,138960.0,141115.0,20,-43100.0,signal_reverse,train,-2155.0
2012-10-10 20:47:00,2012-10-11 14:32:00,146440.0,148190.0,20,-35000.0,signal_reverse,train,-1750.0
2012-10-12 16:02:00,2012-10-15 16:02:00,147120.0,147520.0,21,-8400.0,signal_reverse,train,-400.0
2012-10-15 17:32:00,2012-10-16 16:02:00,146630.0,148070.0,20,-28800.0,signal_reverse,train,-1440.0
2012-10-23 16:02:00,2012-10-24 16:02:00,146190.0,145970.0,19,4180.0,signal_reverse,train,220.0
2012-10-24 20:47:00,2012-10-25 14:32:00,145150.0,145430.0,17,-4760.0,signal_reverse,train,-280.0
2012-10-25 19:17:00,2012-11-01 19:17:00,144420.0,143350.0,16,17120.0,stop_loss,train,1070.0
2012-11-01 20:47:00,2012-11-06 17:32:00,143590.0,144420.0,19,-15770.0,signal_reverse,train,-830.0
2012-11-07 17:32:00,2012-11-12 20:47:00,143210.0,139320.0,21,81690.0,signal_reverse,train,3890.0
2013-02-08 20:47:00,2013-02-12 22:17:00,158720.0,158510.0,19,3990.0,signal_reverse,train,210.0
2013-02-14 16:02:00,2013-02-19 17:32:00,158880.0,158680.0,21,4200.0,signal_reverse,train,200.0
2013-02-19 20:47:00,2013-02-20 14:32:00,158390.0,158560.0,24,-4080.0,signal_reverse,train,-170.0
2013-02-20 16:02:00,2013-02-26 14:32:00,158110.0,152620.0,25,137250.0,signal_reverse,train,5490.0
2013-04-11 20:47:00,2013-04-24 16:02:00,138780.0,133660.0,25,128000.0,signal_reverse,train,5120.0
2013-05-30 14:32:00,2013-06-10 11:29:00,135020.0,130550.0,19,84930.0,expiration,train,4470.0
2013-06-26 22:17:00,2013-06-28 14:32:00,124690.0,125710.0,15,-15300.0,signal_reverse,train,-1020.0
2013-06-28 17:32:00,2013-06-28 20:47:00,125040.0,125710.0,19,-12730.0,signal_reverse,train,-670.0
2013-08-08 14:32:00,2013-08-09 22:17:00,129710.0,132450.0,26,-71240.0,signal_reverse,train,-2740.0
2013-08-12 16:02:00,2013-08-12 17:32:00,131560.0,131500.0,26,1560.0,signal_reverse,train,60.0
2013-08-27 14:32:00,2013-09-02 22:19:00,130290.0,129220.0,27,28890.0,stop_loss,train,1070.0
2013-09-03 16:02:00,2013-09-04 20:47:00,128710.0,130120.0,27,-38070.0,signal_reverse,train,-1410.0
2013-11-05 22:17:00,2013-11-07 17:32:00,145650.0,147000.0,31,-41850.0,signal_reverse,train,-1350.0
2013-11-07 19:17:00,2013-11-15 11:29:00,145800.0,144910.0,28,24920.0,stop_loss,train,890.0
2013-11-15 14:32:00,2013-11-15 20:57:00,143400.0,144530.0,21,-23730.0,signal_reverse,train,-1130.0
2013-11-20 16:02:00,2013-11-20 17:32:00,143960.0,144230.0,27,-7290.0,signal_reverse,train,-270.0
2013-11-21 14:32:00,2013-11-21 22:17:00,142760.0,143080.0,26,-8320.0,signal_reverse,train,-320.0
2013-11-27 14:32:00,2013-12-09 11:29:00,140870.0,139250.0,26,42120.0,expiration,train,1620.0
2014-01-06 20:47:00,2014-01-06 22:17:00,138410.0,138170.0,27,6480.0,signal_reverse,train,240.0
2014-01-09 20:47:00,2014-01-10 14:32:00,137490.0,138050.0,23,-12880.0,signal_reverse,train,-560.0
2014-01-13 19:17:00,2014-01-16 14:32:00,139790.0,139880.0,27,-2430.0,signal_reverse,train,-90.0
2014-01-16 20:47:00,2014-01-17 16:02:00,139270.0,140530.0,25,-31500.0,signal_reverse,train,-1260.0
2014-01-17 20:57:00,2014-01-20 14:32:00,139340.0,139460.0,28,-3360.0,signal_reverse,train,-120.0
2014-01-23 20:47:00,2014-02-06 20:47:00,136550.0,134230.0,27,62640.0,signal_reverse,train,2320.0
2014-02-19 16:02:00,2014-02-25 23:47:00,131070.0,130270.0,23,18400.0,stop_loss,train,800.0
2014-02-26 14:32:00,2014-03-11 11:35:00,129310.0,113660.0,23,359950.0,expiration,train,15650.0
2014-04-15 14:32:00,2014-04-17 14:32:00,112650.0,112250.0,16,6400.0,signal_reverse,train,400.0
2014-04-17 16:02:00,2014-04-17 19:17:00,112420.0,114000.0,15,-23700.0,signal_reverse,train,-1580.0
2014-04-22 14:32:00,2014-04-28 19:17:00,114410.0,110180.0,17,71910.0,signal_reverse,train,4230.0
2014-04-29 17:32:00,2014-05-06 14:32:00,111460.0,112300.0,12,-10080.0,signal_reverse,train,-840.0
2014-07-01 14:32:00,2014-07-01 17:32:00,130360.0,131230.0,20,-17400.0,signal_reverse,train,-870.0
2014-07-04 20:47:00,2014-07-07 14:32:00,130330.0,133030.0,20,-54000.0,signal_reverse,train,-2700.0
2014-07-17 14:32:00,2014-07-24 20:47:00,127660.0,127150.0,14,7140.0,stop_loss,train,510.0
2014-07-24 22:17:00,2014-08-04 14:32:00,126860.0,119730.0,17,121210.0,signal_reverse,train,7130.0
2014-08-29 17:32:00,2014-09-03 14:32:00,119630.0,122340.0,19,-51490.0,signal_reverse,train,-2710.0
2014-09-18 14:32:00,2014-09-24 22:17:00,118170.0,118470.0,16,-4800.0,stop_loss,train,-300.0
2014-09-25 14:32:00,2014-10-03 14:32:00,117650.0,109100.0,24,205200.0,signal_reverse,train,8550.0
2014-11-06 19:17:00,2014-11-10 14:32:00,100300.0,104300.0,17,-68000.0,signal_reverse,train,-4000.0
2014-11-11 14:32:00,2014-11-18 16:02:00,103190.0,102320.0,14,12180.0,stop_loss,train,870.0
2014-11-18 17:32:00,2014-11-19 14:32:00,101300.0,101620.0,17,-5440.0,signal_reverse,train,-320.0
2014-11-27 20:47:00,2014-12-08 11:29:00,98730.0,91070.0,15,114900.0,expiration,train,7660.0
2015-01-06 14:32:00,2015-01-08 14:32:00,72250.0,78580.0,9,-56970.0,signal_reverse,train,-6330.0
2015-01-09 14:32:00,2015-01-15 20:57:00,75540.0,74490.0,10,10500.0,signal_reverse,train,1050.0
2015-01-15 22:27:00,2015-01-16 14:32:00,73620.0,75190.0,12,-18840.0,signal_reverse,train,-1570.0
2015-01-29 14:32:00,2015-02-03 14:32:00,74480.0,77230.0,14,-38500.0,signal_reverse,train,-2750.0
2015-02-05 14:32:00,2015-02-05 16:02:00,78930.0,79260.0,12,-3960.0,signal_reverse,train,-330.0
2015-03-18 14:32:00,2015-03-20 20:47:00,82330.0,85160.0,17,-48110.0,signal_reverse,train,-2830.0
2015-05-19 17:32:00,2015-05-19 20:47:00,104010.0,104410.0,20,-8000.0,signal_reverse,train,-400.0
2015-05-20 14:32:00,2015-05-20 20:47:00,102410.0,102690.0,19,-5320.0,signal_reverse,train,-280.0
2015-05-26 14:32:00,2015-05-26 16:02:00,103390.0,102430.0,18,17280.0,signal_reverse,train,960.0
2015-05-27 14:32:00,2015-06-05 20:47:00,99950.0,91620.0,19,158270.0,signal_reverse,train,8330.0
2015-06-24 20:47:00,2015-06-25 14:32:00,91940.0,92320.0,23,-8740.0,signal_reverse,train,-380.0
2015-06-25 17:32:00,2015-06-25 19:17:00,91540.0,91610.0,25,-1750.0,signal_reverse,train,-70.0
2015-06-26 14:32:00,2015-06-26 17:32:00,91190.0,91760.0,28,-15960.0,signal_reverse,train,-570.0
2015-06-29 14:32:00,2015-07-03 22:17:00,90100.0,89520.0,28,16240.0,stop_loss,train,580.0
